Latitude,Longitude,Elevation,Year,Month,Day,Temperature,Humidity,TotalPrecip
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9
